resto_id,name,cuisine_type,is_official,lat,long,location,average_price,overall_rating,rating_rasa,rating_suasana,rating_harga_rasa,rating_pelayanan,rating_kebersihan,open_time,payment_method,wifi,delivery,smoking_area,outdor_area,24hour,100%_halal,VIP_room,reservation,parking_area,alcohol,vegetarian
1642402106941321,Dakota Martabak,[ Indonesia ],False,-6.908502,107.627228," M Bar Go Corner Jl. Bengawan No. 56, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Sabtu (12:00 - 22:00), Minggu Tutup",Tunai,not sure,not sure,not sure,not sure,no,yes,not sure,not sure,not sure,no,no
1642402108853658,Nescafe Corner,[ Minuman ],False,-6.905922,107.61436200000001," The Secret Factory Outlet, Secret Garden Jl. LLRE Martadinata No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402109478511,Sate Taichan Buri,[ Indonesia ],False,-6.904277,107.6202," Waroeng Tjimanoek Jl. Cimanuk No. 5A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu (11:00 - 24:00), Minggu (11:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402110017431,Sweet Belly,[ Dessert ],False,-6.906803,107.620494," Jl. Lombok No. 53, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.82,3.9,3.8,3.9,3.7,3.8,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,no,yes,yes,no,no
164240211393409,AlanorA,[ Italia ],False,-6.904277,107.6202," Waroeng Tjimanoek Jl. Cimanuk No. 5A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu (11:00 - 24:00), Minggu (11:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402114507865,Ayam Petir Alfazza,[ Indonesia ],False,-6.906478,107.613895," Kedai Ciska Jl. LLRE Martadinata No. 41, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 21:00),"Tunai,Visa,Master,Debet",yes,yes,yes,no,no,yes,no,no,no,no,no
1642402115057056,Donwoori Suki,[ Korea ],False,-6.906786,107.620515," Jl. Lombok No. 61, Riau, Bandung ", Rp. 50.000 - Rp. 100.000 /orang ,4.01,4.1,4.7,3.5,3.7,4.2,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai,Visa,Master,Debet,Go-pay,Ovo",yes,no,yes,yes,no,yes,yes,yes,yes,no,no
1642402120153014,Waroeng Tjimanoek,[ Minuman ],False,-6.904277,107.6202," Waroeng Tjimanoek Jl. Cimanuk No. 5A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu (11:00 - 24:00), Minggu (11:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402120831006,Pempek Onel,[ Indonesia ],False,-6.9070375,107.6201153," Hashtag Foodstation Jl. Lombok No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu - Minggu (11:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402121550438,Bakmie Ketawa,[ Indonesia ],False,-6.9051819000000005,107.623053," Krang Kring Jl. Ciliwung No. 1 - 3, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (10:00 - 22:00), Sabtu (10:00 - 23:00), Minggu (10:00 - 22:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402122196379,Temen Ngopi,[ Kafe ],False,-6.903971,107.62104," Erha Clinic Jl. Cimanuk No. 16, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,3.67,3.0,4.0,3.7,3.7,4.0,"Senin - Sabtu (09:00 - 18:00), Minggu Tutup","Tunai,Visa,Master,Debet,Ovo",yes,no,no,no,no,yes,no,yes,yes,no,no
1642402124763247,Soto Betawi & Gudeg Palapa,[ Indonesia ],False,-6.906478,107.61389399999999," Kedai Ciska Jl. LLRE Martadinata No. 41, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 21:00),"Tunai,Visa,Master,Debet",yes,yes,yes,no,no,yes,no,no,no,no,no
1642402125455808,Sop Buntut Pak Iing,[ Indonesia ],False,-6.906839999999999,107.62088200000001," Jl. Lombok No. 30, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 21:00),Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402125984766,Kopi ABC,[ Minuman ],False,-6.908625,107.627146," Jl. Bengawan No. 56, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (11:00 - 21:00),Tunai,yes,no,yes,no,no,yes,no,yes,yes,no,no
1642402126605228,Nasi Gudeg Jogja Pak Rizky,[ Indonesia ],False,-6.9068391,107.6139311," Paguyuban Pedagang Jl. Ternate, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (07:00 - 16:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642402127236999,Bang Ndutz,[ Indonesia ],False,-6.9070375,107.6201153," Hashtag Foodstation Jl. Lombok No. 47, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu - Minggu (11:00 - 23:00)","Tunai,Visa,Master,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402127863884,Ayam Gepuk Pak Gembus,[ Indonesia ],False,-6.905125999999999,107.6224861," Teras Sunda Jl. Ciliwung No. 2, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Sabtu (11:00 - 21:00 ), Minggu Tutup",Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
1642402128482972,Pempek Bohe Wiwih,[ Indonesia ],False,-6.906582000000001,107.615452," Jl. Halmahera (Samping RS. Halmahera), Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (11:00 - 18:00),Tunai,no,no,yes,no,no,yes,no,no,no,no,no
1642402129141568,Sate Mbok Dikem,[ Indonesia ],False,-6.906478,107.61389299999999," Kedai Ciska Jl. LLRE Martadinata No. 41, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (09:00 - 21:00),"Tunai,Visa,Master,Debet",yes,yes,yes,no,no,yes,no,no,no,no,no
1642402129723876,Rosti Badranaya,[ Barat ],False,-6.906839999999999,107.62088200000001," Jl. Lombok No. 30, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,Senin - Minggu (07:00 - 22:00),"Tunai, Debet, Visa, Master",yes,no,yes,no,no,yes,no,no,yes,no,no
1642402130331994,Rumah Kuliner,[ Minuman ],False,-6.904302,107.62035," Rumah Kuliner Jl. Cimanuk No. 5A, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Senin - Jumat (11:00 - 22:00), Sabtu (11:00 - 24:00), Minggu (11:00 - 22:00)","Tunai,Debet",yes,no,yes,yes,no,yes,no,yes,yes,no,no
1642402131027787,Noeainx,[ Indonesia ],False,-6.909391,107.62051299999999," Stadion Siliwangi Jl. Lombok No. 10, Riau, Bandung ", Di bawah Rp. 50.000 /orang ,0.0,0.0,0.0,0.0,0.0,0.0,"Selasa - Minggu (11:00 - 22:00), Senin Tutup",Tunai,no,no,yes,no,no,yes,no,no,yes,no,no
