user_id,username,alpha_badge,review_count,account_level,badges
shiina_lee,Jessica | IG: @snapfoodjourney,Alfa 2019,288,12,"Kopi,Bakmi,Pasta,Dessert,"
renol,renol,no badge,2,1,no badge
sarah_permanik,Sarah Permanik,no badge,3,1,no badge
anasyasabina,Anasya Sabina,no badge,5,2,no badge
jovankarchl,Jo Ronauli,no badge,21,4,no badge
kulikuliner,Kuli Kuliner,no badge,13,3,no badge
debora_setopo,Debora Setopo,Alfa 2021,928,15,"Steak,Ramen,Chinese Food,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
nadiatedianto,Nadia | IG: @nadiatedianto,no badge,1,1,no badge
arziandi_rachman,ARZ RCH,no badge,50,6,no badge
rian_oy_oy,| TidakGemuk | ig : @tidakgemuk,no badge,113,9,"Kopi,"
rizkaamalia,Rizka amalia,no badge,4,1,no badge
aldyan,al an,no badge,4,1,no badge
megarusdiantina_gmail_com,"Mr """"",no badge,2,1,no badge
foodlover17,Sillyoldbear.id,Alfa 2021,616,15,"Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
bucky,Buchara Rubyandra,no badge,7,2,no badge
hungry.monsters,Hungry Monsters,no badge,6,2,no badge
ridha_faturohman_satriaji,Culinary Wanders,no badge,4,1,no badge
Sugi,Sugi,no badge,8,2,no badge
nita_septiani,Nita Septiani,no badge,1,1,no badge
bang_ibrahim,Bang Ibrahim,no badge,8,3,no badge
indra_adidaya,Nissa Agashi,no badge,1,1,no badge
dellaila_,Nurlaila Ramadhaniaty,no badge,13,3,no badge
hilman_pratama_wirahman,Hilman Wirahman,no badge,6,2,no badge
wahyu.di,Wahyudi Oka,no badge,14,3,no badge
karinadepari,Karina Depari,no badge,1,1,no badge
dea_fitriani,Dea Fitriani,no badge,1,1,no badge
Makanmakanyuk,Lidya Sutedjo,no badge,5,1,no badge
muthia_us,Muthia US,no badge,16,4,no badge
pipiyouxx,Vie Fitriana,no badge,2,1,no badge
inne_altamim,Inne Altamim,no badge,1,1,no badge
asep_syahbudi,Asep Syahbudi,no badge,2,1,no badge
Ardi_H,Ardi_H,no badge,1,1,no badge
all_me_yeah,Gregorius Bayu | ig: exploresto,Alfa 2021,1895,19,"Kopi,Bakmi,Pizza,Pasta,Burger,Dessert,Bubble Tea,"
sovia_latifah_putri,Sovia Putri,no badge,1,1,no badge
doyouhungry,bobywsaputra,no badge,7,2,no badge
Isabelldc,Isabella Chandra,Alfa 2021,516,13,"BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Dessert,Bubble Tea,"
cynthia_permana,Cynthia Permana,no badge,11,3,no badge
mrfoody.diary,mrfoody.diary,no badge,23,4,no badge
tianurjanah,Tia Nurjanah,no badge,5,2,no badge
rury_rahayu_dee,Rury Rahayu Dee,no badge,8,2,no badge
riana.nuraini,Riana Nuraini,no badge,1,1,no badge
Foodspoiler,Foodspoiler ID,no badge,2,1,no badge
Suarnasria,Asria Suarna,no badge,37,5,no badge
foodinhands,Foodinhands Community IG : @foodinhands,Alfa 2018,95,8,"Kopi,Dessert,"
dave.tan,David Sugiarto,no badge,76,8,"Kopi,Dessert,"
cyntia_carissa,Cyntia C,no badge,5,1,no badge
tinyhsw,Tiny HSW. IG : @tinyfoodjournal,Alfa 2021,333,12,"Ramen,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,"
caprianist,Ias Naibaho,no badge,25,5,no badge
hin,Hin Hin,no badge,1,1,no badge
melisacubbie,Melisa Cubbie,no badge,53,6,no badge
andrea_eugenia_gandasasmita,Andrea Eugenia Gandasasmita,no badge,10,2,no badge
syavira_nurhafni,syavira nurhafni,no badge,1,1,no badge
yin_mimi,Yin Mimi 秀美,no badge,12,3,no badge
YSfoodspottings,YSfoodspottings,Alfa 2019,550,14,"Chinese Food,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,"
Adila84,Adila Afifah Rizki,no badge,2,1,no badge
melissa_olivia,Melissa Olivia,no badge,41,5,no badge
hendry_jonathan,Hendry Jonathan,Alfa 2021,186,11,"Bakmi,Dessert,"
alexandrassh98,Alexandra Damayanthie,no badge,2,1,no badge
auliatiara560,@tiaramakann,no badge,75,7,"Ramen,Bakmi,"
yulius,Yulius Yulius,no badge,2,1,no badge
cewekrakus,Levina JV (IG : @levina_eat & @levinajv),Alfa 2021,1312,19,"Steak,Ramen,Chinese Food,Dimsum,Seafood,BBQ,Pancake,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
NOTIFOODCATION,"NOTIFOODCATION Notice, Food, & Location",no badge,53,8,no badge
Vising,Vising Lie,no badge,389,13,"Steak,Chinese Food,Kopi,Bakmi,Pasta,Sushi,Dessert,"
sibolangdoyanmakan,sibolangdoyanamakan,no badge,4,1,no badge
